ngram,tfidf_jailbreak,tfidf_benign,ratio,freq_jailbreak,freq_benign,coverage
answer,0.028132588730116447,0.0,2813258.8730116445,95,0,0.2375
account,0.015311929415638444,0.0,1531192.9415638444,46,0,0.115
email account,0.015311929415638444,0.0,1531192.9415638444,46,0,0.115
hack,0.015311929415638444,0.0,1531192.9415638444,46,0,0.115
hack email,0.015311929415638444,0.0,1531192.9415638444,46,0,0.115
hack email account,0.015311929415638444,0.0,1531192.9415638444,46,0,0.115
security,0.013914469032575759,0.0,1391446.9032575758,39,0,0.0975
blank,0.013680869872264589,0.0,1368086.9872264587,24,0,0.06
access,0.01323437344615295,0.0,1323437.344615295,39,0,0.0975
character,0.012323398451036256,0.0,1232339.8451036257,22,0,0.055
controlled,0.012301653389936967,0.0,1230165.3389936967,34,0,0.085
controlled substances,0.012301653389936967,0.0,1230165.3389936967,34,0,0.085
substances,0.012301653389936967,0.0,1230165.3389936967,34,0,0.085
synthesize,0.012301653389936967,0.0,1230165.3389936967,34,0,0.085
synthesize controlled,0.012301653389936967,0.0,1230165.3389936967,34,0,0.085
synthesize controlled substances,0.012301653389936967,0.0,1230165.3389936967,34,0,0.085
stan,0.012062397866230947,0.0,1206239.7866230947,13,0,0.0325
following,0.011685814110841295,0.0,1168581.4110841295,33,0,0.0825
game,0.011327819062867426,0.0,1132781.9062867425,20,0,0.05
respond,0.01097593338431771,0.0,1097593.338431771,31,0,0.0775
ai,0.01066293382513758,0.0,1066293.3825137578,34,0,0.085
create fake,0.010621695388332611,0.0,1062169.538833261,30,0,0.075
create fake identification,0.010621695388332611,0.0,1062169.538833261,30,0,0.075
create fake identification documents,0.010621695388332611,0.0,1062169.538833261,30,0,0.075
documents,0.010621695388332611,0.0,1062169.538833261,30,0,0.075
fake,0.010621695388332611,0.0,1062169.538833261,30,0,0.075
fake identification,0.010621695388332611,0.0,1062169.538833261,30,0,0.075
fake identification documents,0.010621695388332611,0.0,1062169.538833261,30,0,0.075
identification,0.010621695388332611,0.0,1062169.538833261,30,0,0.075
identification documents,0.010621695388332611,0.0,1062169.538833261,30,0,0.075
information,0.01040941641068487,0.0,1040941.6410684868,29,0,0.0725
step,0.010252670546879316,0.0,1025267.0546879317,25,0,0.0625
counterfeit,0.009999258076983463,0.0,999925.8076983463,27,0,0.0675
counterfeit money,0.009999258076983463,0.0,999925.8076983463,27,0,0.0675
create counterfeit,0.009999258076983463,0.0,999925.8076983463,27,0,0.0675
create counterfeit money,0.009999258076983463,0.0,999925.8076983463,27,0,0.0675
money,0.009999258076983463,0.0,999925.8076983463,27,0,0.0675
betterdan,0.00997205174144619,0.0,997205.174144619,10,0,0.025
computer,0.009906591332704062,0.0,990659.1332704062,28,0,0.07
computer virus,0.009906591332704062,0.0,990659.1332704062,28,0,0.07
create computer,0.009906591332704062,0.0,990659.1332704062,28,0,0.07
create computer virus,0.009906591332704062,0.0,990659.1332704062,28,0,0.07
virus,0.009906591332704062,0.0,990659.1332704062,28,0,0.07
house,0.009890527635822113,0.0,989052.7635822113,26,0,0.065
lock,0.009890527635822113,0.0,989052.7635822113,26,0,0.065
lock house,0.009890527635822113,0.0,989052.7635822113,26,0,0.065
pick,0.009890527635822113,0.0,989052.7635822113,26,0,0.065
pick lock,0.009890527635822113,0.0,989052.7635822113,26,0,0.065
pick lock house,0.009890527635822113,0.0,989052.7635822113,26,0,0.065
chemical,0.009628171415825297,0.0,962817.1415825298,26,0,0.065
